場所,キャッチコピー,説明
函館山,世界3大夜景スポット・函館山からの大パノラマを満喫,香港・ナポリと並ぶ世界3大夜景スポットで、ミシュランの旅行ガイドにも三ツ星として掲載。山麓には1時間前後のハイキングコースも整備されており、四季折々の風景を楽しみながら歩くことができます。標高334mの山頂の展望台は、雄大なパノラマや美しい夜景が楽しめるスポットとしても人気です。
あしかがフラワーパーク,春が藤棚、冬はイルミネーションが見どころ,栃木県にある、色とりどりの花が咲くフラワーパーク。樹齢160年におよぶ600畳敷の大藤棚3面と世界でも珍しい八重の大藤棚・庭木仕立ての藤・80ｍ続く白藤のトンネルを見ることができます。冬季は藤色の花房をイメージした電飾が咲き広がるストーリーが演出されているイルミネーションも見どころです。
星野リゾート トマム 雲海テラス,テラスから眺める雲海はまさに絶景,高さ約12mの最上階からは、遠くまで広がる雲海や日高山脈、正面に見える朝日など、自然が織りなす絶景を広く見渡せます。山を越えて流れ込み、一面を埋め尽くす雲海が目の前に広がる景色はまさに天空の絶景。雲をテーマにしたドリンクやスイーツを堪能、屋内のソファでくつろいで雲海を待つ時間も楽しく過ごせます。
角島大橋,コバルトブルーの美しい海に伸びるフォトジェニックな橋,本州の下関と抜けるような空とコバルトブルーの海に浮かぶ角島とを結ぶ絶景の橋です。本州側から見ると橋の先に角島とこぶりな鳩島が見えて、色彩や構図がフォトジェニックなポイント。全長1780mで、通行無料の橋としては日本屈指の長さを誇ります。
青森ベイブリッジ,美しいライトアップを楽しめる、青森のデートスポット,全長1219mという、青森県内で2番目に長い橋です。ライトアップされた姿が美しく、デートスポットとしておすすめ。青森市街の明かりとともに、海風を感じながら夜景を楽しむことができますよ。
千里浜なぎさドライブウェイ,日本で唯一、砂浜を思う存分ドライブできるスポット,日本で唯一、波打ち際を車で走れる全長8kmの砂浜です。4WD車でなくても走行でき、晴れた日には真っ青な水平線に沿って爽快なドライブを楽しむことができるのも魅力。夕方は水平線に沈む夕陽と、真っ赤に染まる空と海のコントラストがロマンティックで、夜明け前は人も少なく静かで神秘的な雰囲気です。
弘前公園,歴史ある城と、自然を満喫しながら歩く,天守をはじめ城門や、櫓といった藩政時代の遺構が残っている、青森県弘前市の中心部にある公園です。日本最古のソメイヨシノや桜に囲まれた濠など、県内屈指の桜の名所としても有名。植物園・市立博物館・市民会館などさまざまな施設を楽しむこともできます。
小岩井農場 まきば園,動物たちとのふれあいやクラフト体験などが楽しめる,東北の主要観光地で、四季折々の観光客に人気の「小岩井農場 まきば園」。農場内では羊やポニーなどの愛らしい動物たちとのふれあいや、羊毛を使ったクラフト体験などのアクティビティを体験できます。隣接する上丸牛舎エリアには明治から昭和初期の貴重な施設が現存し、一部を公開して歴史を学ぶことも可能です。
皿倉山展望台,日本新三大夜景都市に選ばれた、美しい夜景,皿倉山スロープカーの駅に隣接した、市街地が一望できるパノラマ展望台です。北九州工業地帯・関門海峡を一望でき、夜景のすばらしさは、日本新三大夜景都市に選ばれているほど。レストランやラウンジもあり、誰でも楽しみやすいバリアフリー仕様の施設です。
三本木 ひまわりの丘,咲き乱れるひまわりは圧巻,春には菜の花が、夏には約42万本ものひまわりが咲き乱れる丘。丘一面がびっしりと黄色に覆われる様は、見事のひとことです。いちばんの見ごろの８月10日前後には、町特産のひまわりグッズなどの販売も行われます。
銀山温泉,昔ながらの景観、ノスタルジックな温泉街,大正浪漫の郷愁を感じるノスタルジックな温泉街です。温泉で疲れを癒したら自然の中でのんびり過ごすのも銀山温泉の楽しみ方。大正末期から昭和初期に建てられた洋風木造多層の旅館が銀山川の両岸に沿って軒を並べ、昔ながらの独特な景観を味わうことができます。
エンジェルロード ～天使の散歩道～,願いが叶う場所。幸せの鐘を鳴らせる,エンジェルロードは1日2回、干潮時に海の中から現れる砂の道。大切な人と手をつないで渡ると、願いが叶うと言われているロマンティックな場所です。渡る手前の弁天島を登ると「約束の丘展望台」があり、エンジェルロードを背景に幸せの鐘を鳴らすことができますよ。
渋谷スカイ,渋谷上空229mの刺激的な展望装置,渋谷上空229mの、展望装置。14階～45階の移行空間「SKY GATE」や、屋外展望空間「SKY STAGE」のほか、46階の屋内展望回廊「SKY GALLERY」の3つのゾーンで構成されています。景色を眺めるにとどまらず、一連の体験を通じて知的好奇心を刺激し、想像力を育むスポットです。
スパリゾートハワイアンズ,多彩な温泉とプールが満喫できるスパリゾート,大迫力のスライダーがあるウォーターパークや自然を楽しめる屋外スパ・江戸情緒たっぷりの露天風呂など、6つのテーマパークからなる大規模リゾート施設です。水着で温泉が楽しめるスプリングタウンには、打たせ湯・オンドル・ジャグジーも完備。フラガールやポリネシアンショーにも要注目です。
